work_key	title	author_name	canonical	test_reason	total_candidates	sampled_n	oa_id	oa_title	oa_abstract	oa_year	oa_type	oa_lang	oa_lit	oa_topic	visibility_label	broad_visibility_include	reason	evidence	model	prompt_version
/works/OL82911W	A Fable	William Faulkner	0	top_A	61		W341570962	The Letter or Its Traces in Discourse	We already know that my discourse tells who I am as a subject. And by « subject » I mean the subject of an unconscious desire. The « Letter » would then be what designs an « object, » provided we manage to read it or, rather, to analyze it, for it cannot be said to have only one signification. As I see it, one can look at this letter as the final stage of the metaphor, an effect which has now to be deciphered, for « all signs, » in the words of Michael J. Colacurcio, « are signs of something. » (1) Such a deciphering-which I take to be different from a « reading », however personal-is not always easy, but provided one has taken the trouble-or been lucky enough-to give oneself the adequate psychoanalytic « tools ,» with prudence and patience, it can be done. (2) But I am starting too hastily, for to bluntly state that a subject's discourse reveals his or her unconscious desire-an essential tenet of psychoanalytical thinking-may need some clarification, particularly when the discourse whose analysis is envisaged is a text. The debate is not new, and is likely to continue yet for some time, if only because one of the functions of literature-and the condition of our reading pleasure-is	2010.0	article	en		Literature, Culture, and Aesthetics	exclude_unrelated	0	The title and abstract discuss the 'Letter' as a psychoanalytic/discourse concept with no mention of William Faulkner or the specific work A Fable; nothing in the supplied metadata connects this article to the target work.	"Record title: ""The Letter or Its Traces in Discourse."" Abstract focuses on psychoanalytic analysis of the 'Letter' and cites Michael J. Colacurcio; no reference to Faulkner or A Fable."	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82911W	A Fable	William Faulkner	0	top_A	61		W4412752764	William Faulkner and the Materials of Writing	Jonathan Berliner draws upon recent developments in the fields of media studies and the history of the book to offer new insights into Faulkner’s works, both as texts on the page and as objects in the world. This blend of approaches is especially apropos for William Faulkner (1897–1962), who, “[a]t virtually every turn,” as Berliner puts it, “provides us with lessons about living in a world permeated by technologies of communication old and new” (21). These lessons emerge not only from Faulkner’s treatment of technologies in his fiction—telegraph, typewriter, and photography, for instance—but also from the way in which Faulkner “was particularly attuned to the physicality of the text” (2). Berliner opens with Faulkner’s desire to print the Benjy section of The Sound and the Fury (1929) in various colors of ink, and he discusses every occasion that Faulkner handcrafted a book—not only writing it, but “printing, illustrating and binding it” (Faulkner, qtd. in Berliner 8). He examines Faulkner’s books as objects in themselves and as productions in which Faulkner was often deeply involved; and he also examines Faulkner’s treatment in fiction of all manner of objects that come under the	2023.0	article	en		Literature: history, themes, analysis	unclear	0	The article is a scholarly secondary contribution about Faulkner’s materials and texts generally, but the abstract does not indicate whether it discusses the specific work A Fable; the metadata is insufficient to confirm a genuine connection to that target work.	Abstract discusses Faulkner’s treatment of technologies, the physicality of texts, and The Sound and the Fury, but makes no mention of A Fable or any specific analysis of that work.	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL38989822W	A portrait of the artist as a young man	Joyce, James	1	canonical	509		W2029731058	Invisible Author-Gods: Flaubert, Joyce, and Intertextual Theory	This essay is about the formative role played by Flaubert in the development of Joyce's radically intertextual writing techniques and about these two authors' joint afterlife in critical theory. It identifies and interprets some of the Flaubertian strains in Joyce's works, using terms and critical lenses — specifically, those of intertextuality, and to a lesser extent, of critique génétique — to whose inception both writers are deemed, in tandem, to have been instrumental. It begins by scrutinizing Joyce's adaptation of Flaubert's analogy between the author and God in A Portrait of the Artist as a Young Man; goes on to consider the continuation of Stephen Dedalus's Flaubert-inflected musings about creativity in Ulysses; and finally, exploring the compositional methods that went into the making of Bouvard et Pécuchet and Finnegans Wake, suggests that the extremity of both authors' citational practices in these final works ultimately rendered necessary the emergence of intertextual theory in the 1960s.	2011.0	article	en		Samuel Beckett and Modernism	include_substantive	1	Scholarly article offering interpretive analysis of A Portrait of the Artist as a Young Man (scrutinizes Joyce's adaptation of Flaubert's analogy and traces intertextual techniques), so it is a substantive secondary contribution about the target work.	Record type: article. Abstract: “It begins by scrutinizing Joyce's adaptation of Flaubert's analogy between the author and God in A Portrait of the Artist as a Young Man;” (also discusses continuation of Stephen Dedalus’s Flaubert-inflected musings in Ulysses).	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL88813W	A Room with a View	E. M. Forster	1	canonical	85		W426080469	E.M.Forster:A Room with a View--Transitory love		1981.0	article	zh			include_substantive	1	The record title frames an interpretive claim about Forster's novel (focus on 'Transitory love') and the item is an article, indicating a substantive scholarly analysis of A Room with a View rather than a mere mention or non-scholarly item.	Record title: 'E.M.Forster:A Room with a View--Transitory love'; record type: article; no abstract available but the title signals analytic treatment of the target work.	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL88813W	A Room with a View	E. M. Forster	1	canonical	85		W810921699	Marginally Male: Re-Centering Effeminate Male Characters in E. M. Forster's A Room with a View and Howards End	In this thesis I argue that understanding Forster?s effeminate male characters is central to understanding the novels that they appear in. Tibby in Howards End and Cecil in A Room with a View are often viewed as inconsequential figures that provide comic relief and inspire pity. But if, instead of keeping them at the margins, readers put Tibby and Cecil in direct contact and conflict with the dominant themes of gender identity, gendered power structures, and gender equality in these novels, these characters develop a deeper significance that details the fin de si?cle?s ever-changing attitudes regarding prescribed gender roles for both men and women. Indeed, by examining Forster?s feminized male characters, one can chart the development of these roles in both the larger world and Forster?s prescription for gender evolution in his novels.	2022.0	article	en		Themes in Literature Analysis	include_substantive	1	Scholarly interpretive contribution (thesis/article) that explicitly analyzes Cecil in A Room with a View and argues for his central significance to the novel's gender themes.	Record title names A Room with a View; abstract: “Tibby in Howards End and Cecil in A Room with a View... if, instead of keeping them at the margins, readers put Tibby and Cecil in direct contact and conflict with the dominant themes of gender identity, gendered power structures, and gender equality... examining Forster?s feminized male characters, one can chart the development of these roles...”	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL262496W	A Study in Scarlet	Doyle, Arthur Conan	0	top_C	48		W149189038	Latter-Day Screens: A History of Mormons and the Movies	Demographically outnumbered by Catholics, Baptists, and United Methodists, (1) and internally fragmented into nearly fifty denominations, (2) followers of Mormonism, Church of Jesus Christ of Latter-Day Saints (LDS, or Church), (3) might be said to exert more direct media influence than any other religious group in the United States. One significant measure of Mormonism's new self-confidence and continuing cinematic savvy appears in the emergence of indie films specifically targeted at a LDS audience, with significant crossover potential as well. [ILLUSTRATION OMITTED] broader implications of these developments lie in the stereotyping of Mormons as white, conservative Christian others; a secret kingdom of repressed violence and incestuous sexuality living in the heart of Middle America. Such otherness has clearly characterized the history of Mormonism since its founder Joseph Smith Jr. claimed to have divinely received and translated Book of Mormon in 1830. subsequent persecution of Smith and his followers reached its zenith in the Missouri governor's official Order of Extermination in 1838 and Smith's subsequent violent death at the hands of a mob, the invasive Utah War of 1857-58	2006.0	article	en		Mormonism, Religion, and History	exclude_unrelated	0	The record focuses on Mormonism and film history and contains no reference to Arthur Conan Doyle or A Study in Scarlet, so it is unrelated to the target work.	Record title: 'Latter-Day Screens: A History of Mormons and the Movies'. Abstract discusses 'followers of Mormonism, Church of Jesus Christ of Latter-Day Saints (LDS...)', 'emergence of indie films... targeted at a LDS audience', and 'Joseph Smith Jr.' — no mention of A Study in Scarlet, Conan Doyle, Sherlock Holmes, or related topics.	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82928W	Absalom, Absalom!	William Faulkner	0	top_A	379		W2038790151	An Interview with Michael Cunningham	"AN INTERVIEW WITH Michael Cunningham Michael Cunningham Michael Cunningham is the author of four novels, including The Hours (1998), which won both the Pulitzer Prize and the PEN/Faulkner Award. His fiction has appeared in Atlantic Monthly, The New Yorker, Esquire and The Paris Review, among others. He has also published a work of nonfiction, Land's End: A Walk Through Provincetown (2002). Born in Cincinnati and raised in Pasadena, California, he currently lives in New York City. James Schiff is an assistant professor of English at the University of Cincinnati and the author of several books on contemporary American fiction, including John Updike Revisited (1998) and Understanding Reynolds Price (1996). This interview took place in front of an audience on the campus of the University of Cincinnati on March 5, 2002. An Interview with Michael Cunningham/James Schiff Interviewer: The Hours has been terrifically successful. But Tm curious about what you were thinking when you first began that novel. If someone had come up to me and said, ""I'm going to rewrite Absalom, Absalom! or War and Peace,"" I would have said, ""Oh, yeah?"" Cunningham: I never thought of myself as rewriting Mrs. Dall"	2003.0	article	en		Contemporary Literature and Criticism	include_mention	1	The interview is an eligible secondary scholarly article that mentions Absalom, Absalom! only as a comparative reference to The Hours; the abstract shows no substantive analysis of Faulkner's novel.	"Abstract excerpt: Interviewer: ""If someone had come up to me and said, 'I'm going to rewrite Absalom, Absalom! or War and Peace,' I would have said, 'Oh, yeah?'"" (no follow-up analytical discussion of Absalom, Absalom! shown)."	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82928W	Absalom, Absalom!	William Faulkner	0	top_A	379		W2373816885	"Discussion of the Collage Narrative Art of ""Absalom,Absalom!"""	Absalom,Absalom!written by William Faulkner,is the master work which is also the unique art experiment for modern novels.Series of cubism artistic skills such as multi-perspective narration, subjective juxtaposition and collage,have been prominently employed in Faulkner's narrative novels. This paper attempts to discuss the cubism juxtaposition as well as its textual meaning,which lead us into a new perspective to explore the inner implication of the novels and the artistic innovation.	2010.0	article	en		Comics and Graphic Narratives	include_substantive	1	Scholarly article offering interpretive analysis of Faulkner's narrative techniques (collage, cubist juxtaposition) in Absalom, Absalom!, not a primary text or non-scholarly item.	"Record title: ""Discussion of the Collage Narrative Art of 'Absalom,Absalom!'""; Abstract: ""This paper attempts to discuss the cubism juxtaposition as well as its textual meaning...explore the inner implication of the novels and the artistic innovation."""	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82928W	Absalom, Absalom!	William Faulkner	0	top_A	379		W4224275573	An Acoustic Community: Soundscapes and Community Building in The Sound and the Fury	Among the thematic researches on the late William Faulkner, the auditory exploitation of various points has been on the forefront of attention and increasingly generative. In delving into the question of hearing of, Sarah Gleeson-White and John T. Mathews have respectively tapped into the auditory experiments in Absalom, Absalom! and As I Lay Dying. The distinct Faulknerian sonic qualities, however, could actually be pushed back to The Sound and the Fury. Hearkened to properly combine the acoustic that could be built upon the orchestration of the sounds from the previous cacophony. Based on the overall acoustic, an inclusive community is built.	2022.0	article	en		Poetry Analysis and Criticism	include_mention	1	The article is a scholarly secondary contribution focused on The Sound and the Fury and only references Absalom, Absalom! as a prior example of auditory experiments rather than offering substantive analysis of that work itself.	Title: focuses on The Sound and the Fury; Abstract: “Sarah Gleeson-White and John T. Mathews have respectively tapped into the auditory experiments in Absalom, Absalom! and As I Lay Dying,” indicating a brief contextual reference rather than analysis of Absalom, Absalom!.	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1336767W	Arnold	Arnold, Matthew	0	known_noise_case	34536		W4296689698	Tannlege i krigstjeneste	Arnold Selikowitz var norsk tannlegestudent i Leipzig da Hitler kom til makten i 1933. Slik opplevde han nazifiseringen av Tyskland på nært hold. Og på veldig nært hold, da han sammen med en medstudent, en dag fikk hodet til Van der Lubbe, som ble beskyldt for Riksdagsbrannen, inn på patologen.	2022.0	article	no		Medical History and Research	exclude_unrelated	0	Record is about a person named Arnold (Arnold Selikowitz) and his experiences as a dental student in 1933 Germany, not the literary work 'Arnold' by Matthew Arnold.	Title and abstract discuss 'Arnold Selikowitz', a Norwegian dental student in Leipzig during Nazification and an incident involving Van der Lubbe's head; OpenAlex topic is Medical History and Research — no indication of connection to Matthew Arnold or the literary work.	gpt-5-mini	literary_visibility_v4_heldout150_20260818
