phd_year	phd_author	phd_title	phd_title_norm	best_score	best_ol_title
1880	Eliza Tabor	A Sylvan Queen	sylvan queen	72.72727272727273	The snow queen
1884	Edna Lyall	We Two	we two	66.66666666666667	Two years
1884	Mark Twain	The Adventures of Huckleberry Finn	adventures of huckleberry finn	72.0	The adventures of Monkey
1885	Amelia Barr	Jan Vedder's Wife	jan vedders wife	71.42857142857143	The trader's wife
1885	Margery Hollis	Anthony Fairfax	anthony fairfax	69.23076923076923	The lay Anthony
1885	William Dean Howells	Silas Lapham	silas lapham	75.0	The rise of Silas Lapham
1885	William Hammond	A strong minded woman	strong minded woman	68.96551724137932	The iron woman
1886	Edward Roe	He fell in love with his wife	he fell in love with his wife	60.0	When he dwelt with us
1888	Frances Eleanor Trollope	That Unfortunate Marriage	that unfortunate marriage	66.66666666666667	The unfortunate traveler
1889	Theodore Van Dyke	Rifle, rod, and gun in California	rifle rod and gun in california	66.66666666666667	California, romantic and resourceful
1891	Arthur Conan Doyle	The Doings of Raffles Haw	doings of raffles haw	62.857142857142854	Tales of India
1891	George Gissing	New Grub Street	new grub street	76.92307692307692	Textplus - New Grub Street
1891	Gertrude Atherton	A question of time	question of time	75.86206896551724	Storm of time
1892	Campbell Praed	The Romance of a Chalet	romance of a chalet	77.77777777777779	The romance of a nose
1892	Clara Marsham	Cousin Simon	cousin simon	73.6842105263158	Cousins
1892	Richard Savage	The Little Lady of Lagunitas	little lady of lagunitas	76.59574468085107	Little Lauri of Finland
1893	Beatrice Harraden	Ships that pass in the night	ships that pass in the night	65.21739130434783	Siren in the night
1893	Frederick Wedmore	Renunciations	renunciations	66.66666666666667	Definitions
1894	Emma Wolf	A prodigal in love	prodigal in love	73.33333333333334	The prodigal nurse
1896	Allen Upward	A crown of straw	crown of straw	78.57142857142857	A crown of shame
1896	Paul Laurence Dunbar	The Uncalled	uncalled	70.58823529411764	Walled in
1897	H. Rider Haggard	Jess	jess	66.66666666666667	Jassy
1900	Amelia Barr	The Maid of Maiden Lane	maid of maiden lane	70.58823529411764	The making of a man
1901	Frank Norris	The Octopus	octopus	66.66666666666667	Topsy
1901	Max Nordau	The comedy of sentiment	comedy of sentiment	77.77777777777779	Stories of comedy
1903	Opie Read	The Hark riders	hark riders	76.19047619047619	The dark river
1911	Samuel Crockett	The lady of the hundred dresses	lady of the hundred dresses	75.47169811320755	The house of the hundred doors
1913	Earl Derr Biggers	Seven Keys to Bald Pate	seven keys to bald pate	61.904761904761905	The Seven Dials Mystery
1913	George Stevenson	Topham's Folly	tophams folly	71.42857142857143	The praise of folly
1914	Irving Williams	Big Wallace	big wallace	73.6842105263158	The Big Wave
1915	Dorothy Richardson	Pointed Roofs	pointed roofs	72.0	Painted Rock
1915	Rafael Sabatini	The Sea Hawk	sea hawk	75.0	The Sun Hawk
1917	William Dean Howells	Confessions St Augustine	confessions st augustine	71.7948717948718	Saint Augustine
1920	Clarence Day	The Simian World	simian world	75.0	The world within
1920	James Oliver Curwood	The Valley of Silent Men	valley of silent men	76.47058823529412	The men of silence
1920	Ridgwell Cullum	The heart of Unaga	heart of unaga	76.92307692307692	Young hearts
1921	Charles Seltzer	Drag Harlan	drag harlan	66.66666666666667	The reluctant dragon
1921	Don Marquis	The Old Soak	old soak	75.0	The old stag
1922	Francis Russel Hart	Admirals of the Caribbean	admirals of the caribbean	79.16666666666666	Admiral of the ocean-sea
1922	W H Hudson	A Crystal Age	crystal age	78.26086956521739	The crystal boat
1924	T S Stribling	Red Sand	red sand	75.0	Red wind
1930	Katherine Mansfield	The aloe	aloe	75.0	... Love
1930	Robert M Coates	The Outlaw Years	outlaw years	76.19047619047619	Two years
1945	Frances Crane	The Indigo Necklace	indigo necklace	66.66666666666667	Indigo treasure
