phd_year	phd_author	phd_title	phd_title_norm	phd_last_name	best_score	best_ol_title	reason
1880	Eliza Tabor	A Sylvan Queen	sylvan queen	tabor	0		no_title_match
1884	Edna Lyall	We Two	we two	lyall	0		no_title_match
1884	Mark Twain	The Adventures of Huckleberry Finn	adventures of huckleberry finn	twain	0		no_title_match
1885	Amelia Barr	Jan Vedder's Wife	jan vedders wife	barr	0		no_title_match
1885	Margery Hollis	Anthony Fairfax	anthony fairfax	hollis	0		no_title_match
1885	William Dean Howells	Silas Lapham	silas lapham	howells	0		no_title_match
1885	William Hammond	A strong minded woman	strong minded woman	hammond	0		no_title_match
1886	Edward Roe	He fell in love with his wife	he fell in love with his wife	roe	0		no_title_match
1888	Frances Eleanor Trollope	That Unfortunate Marriage	that unfortunate marriage	trollope	0		no_title_match
1889	Theodore Van Dyke	Rifle, rod, and gun in California	rifle rod and gun in california	dyke	0		no_title_match
1891	Arthur Conan Doyle	The Doings of Raffles Haw	doings of raffles haw	doyle	0		no_title_match
1891	George Gissing	New Grub Street	new grub street	gissing	0		no_title_match
1891	Gertrude Atherton	A question of time	question of time	atherton	0		no_title_match
1892	Campbell Praed	The Romance of a Chalet	romance of a chalet	praed	0		no_title_match
1892	Clara Marsham	Cousin Simon	cousin simon	marsham	0		no_title_match
1892	Richard Savage	The Little Lady of Lagunitas	little lady of lagunitas	savage	0		no_title_match
1893	Beatrice Harraden	Ships that pass in the night	ships that pass in the night	harraden	0		no_title_match
1893	Frederick Wedmore	Renunciations	renunciations	wedmore	0		no_title_match
1894	Emma Wolf	A prodigal in love	prodigal in love	wolf	0		no_title_match
1896	Allen Upward	A crown of straw	crown of straw	upward	0		no_title_match
1896	Paul Laurence Dunbar	The Uncalled	uncalled	dunbar	0		no_title_match
1897	H. Rider Haggard	Jess	jess	haggard	0		no_title_match
1900	Amelia Barr	The Maid of Maiden Lane	maid of maiden lane	barr	0		no_title_match
1901	Frank Norris	The Octopus	octopus	norris	0		no_title_match
1901	Max Nordau	The comedy of sentiment	comedy of sentiment	nordau	0		no_title_match
1903	Opie Read	The Hark riders	hark riders	read	0		no_title_match
1911	Samuel Crockett	The lady of the hundred dresses	lady of the hundred dresses	crockett	0		no_title_match
1913	Earl Derr Biggers	Seven Keys to Bald Pate	seven keys to bald pate	biggers	0		no_title_match
1913	George Stevenson	Topham's Folly	tophams folly	stevenson	0		no_title_match
1914	Irving Williams	Big Wallace	big wallace	williams	0		no_title_match
1915	Dorothy Richardson	Pointed Roofs	pointed roofs	richardson	0		no_title_match
1915	Rafael Sabatini	The Sea Hawk	sea hawk	sabatini	0		no_title_match
1917	William Dean Howells	Confessions St Augustine	confessions st augustine	howells	0		no_title_match
1920	Clarence Day	The Simian World	simian world	day	0		no_title_match
1920	James Oliver Curwood	The Valley of Silent Men	valley of silent men	curwood	0		no_title_match
1920	Ridgwell Cullum	The heart of Unaga	heart of unaga	cullum	0		no_title_match
1921	Charles Seltzer	Drag Harlan	drag harlan	seltzer	0		no_title_match
1921	Don Marquis	The Old Soak	old soak	marquis	0		no_title_match
1922	Francis Russel Hart	Admirals of the Caribbean	admirals of the caribbean	hart	0		no_title_match
1922	W H Hudson	A Crystal Age	crystal age	hudson	0		no_title_match
1924	T S Stribling	Red Sand	red sand	stribling	0		no_title_match
1930	Katherine Mansfield	The aloe	aloe	mansfield	0		no_title_match
1930	Robert M Coates	The Outlaw Years	outlaw years	coates	0		no_title_match
1945	Frances Crane	The Indigo Necklace	indigo necklace	crane	0		no_title_match
