phd_title	phd_author	phd_year	ol_work_key	ol_title	ol_author	ol_year	title_score	yr_match	au_match	quality	v1_key	changed	n_candidates
The Portrait of a Lady	Henry James	1881	/works/OL276365W	The Portrait of a Lady	James, Henry	1881	100.0	True	True	best	/works/OL276365W	False	1
Treasure Island	Robert Louis Stevenson	1882	/works/OL24034W	Treasure Island	Robert Louis Stevenson	1880	100.0	True	True	best	/works/OL24034W	False	11
The golden calf	Mary Braddon	1883	/works/OL5138118W	The Golden Cage	Iris Bromige	1950	81.81818181818181	False	False	title_only	/works/OL5138118W	False	1
The Story of an African Farm	Olive Schreiner	1883	/works/OL18561767W	The story of an African farm	Olive Schreiner	1883	100.0	True	True	best	/works/OL18561767W	False	3
Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	1886	/works/OL44014215W	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	1886	100.0	True	True	best	/works/OL24120W	True	6
Looking Backward	Edward Bellamy	1887	/works/OL18814811W	Looking backward	Bellamy, Edward	1941	100.0	False	True	title_only	/works/OL18814811W	False	3
Robert Elsmere	Mrs. Humphry Ward	1888	/works/OL41540816W	Robert Elsmere	Humphry Ward	1888	100.0	True	True	best	/works/OL41540816W	False	2
The Mystery of the Cloomber	Arthur Conan Doyle	1889	/works/OL262473W	The Mystery of Cloomber	Doyle, Arthur Conan	1895	90.47619047619048	False	True	title_only	/works/OL262473W	False	1
At Fault	Kate Chopin	1890	/works/OL65437W	At Fault	Kate Chopin	1890	100.0	True	True	best	/works/OL65437W	False	1
The Picture of Dorian Gray	Oscar Wilde	1890	/works/OL8193416W	The Picture of Dorian Gray	Oscar Wilde	1890	100.0	True	True	best	/works/OL8193416W	False	1
Alas	Rhoda Broughton	1890	/works/OL1487721W	Alas!	Rhoda Broughton	1890	100.0	True	True	best	/works/OL1487721W	False	1
Megda	Emma Kelley	1891	/works/OL4971729W	Megda	Emma Dunham Kelley	1891	100.0	True	True	best	/works/OL4971729W	False	1
Tess of the D'Urbervilles	Thomas Hardy	1891	/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	1891	100.0	True	True	best	/works/OL40434746W	False	2
Maggie, a girl of the streets	Stephen Crane	1892	/works/OL20839W	Maggie, a girl of the streets	Crane, Stephen	1893	100.0	True	True	best	/works/OL20839W	False	3
The Odd Women	George Gissing	1893	/works/OL715621W	The odd women	George Gissing	1893	100.0	True	True	best	/works/OL715621W	False	1
The Heavenly Twins	Sarah Grand	1893	/works/OL4315764W	The Heavenly Twins	Sarah Grand	1893	100.0	True	True	best	/works/OL4315764W	False	2
The Prisoner of Zenda	Anthony Hope	1894	/works/OL9056552W	The prisoner of Zenda	George F. Wear	1939	999	True	True	forced	/works/OL9056552W	False	1
Pembroke	Mary Wilkins Freeman	1894	/works/OL507321W	Pembroke	Mary Eleanor Wilkins Freeman	1894	100.0	True	True	best	/works/OL507321W	False	1
The Jungle Book	Rudyard Kipling	1894	/works/OL19870W	The Jungle Book	Kipling, Rudyard	1893	100.0	True	True	best	/works/OL44238347W	True	3
The Time Machine	H. G. Wells	1895	/works/OL52267W	The Time Machine	H. G. Wells	1895	100.0	True	True	best	/works/OL52267W	False	2
The Red Badge of Courage	Stephen Crane	1895	/works/OL42517032W	The red badge of courage	Crane, Stephen	1900	100.0	True	True	best	/works/OL42517032W	False	4
Jude the Obscure	Thomas Hardy	1895	/works/OL39453744W	Jude the obscure	Hardy, Thomas	1895	100.0	True	True	best	/works/OL36050583W	True	6
Dracula	Bram Stoker	1897	/works/OL15062619W	Dracula	Martin Harry Greenberg	1922	999	True	True	forced	/works/OL15062619W	False	1
The Turn of the Screw	Henry James	1898	/works/OL40252771W	Turn of the Screw	Henry James	1898	100.0	True	True	best	/works/OL40252771W	False	3
The Red Axe	S R Crockett	1898	/works/OL2339087W	The Red Axe	S. R. Crockett	1898	100.0	True	True	best	/works/OL2339087W	False	2
McTeague	Frank Norris	1899	/works/OL1794911W	McTeague	Frank Norris	1899	100.0	True	True	best	/works/OL1794911W	False	1
Heart of Darkness	Joseph Conrad	1899	/works/OL31971259W	Heart of Darkness	Conrad, Joseph	1899	100.0	True	True	best	/works/OL31971259W	False	6
The Awakening	Kate Chopin	1899	/works/OL65430W	The Awakening	Kate Chopin	1899	100.0	True	True	best	/works/OL7851965W	True	5
Senator North	Gertrude Atherton	1900	/works/OL1797270W	Senator North	Atherton, Gertrude Franklin Horn	1900	100.0	True	True	best	/works/OL1797270W	False	1
Kim	Rudyard Kipling	1900	/works/OL20172W	Kim	Kipling, Rudyard	1901	100.0	True	True	best	/works/OL20172W	False	3
Sister Carrie	Theodore Dreiser	1900	/works/OL100203W	Sister Carrie	Theodore Dreiser	1900	100.0	True	True	best	/works/OL100203W	False	2
Marrow of Tradition	Mary Chesnutt	1901	/works/OL112798W	The marrow of tradition	Charles Waddell Chesnutt	1901	100.0	True	True	best	/works/OL112798W	False	1
Grand Babylon Hotel	Arnold Bennett	1902	/works/OL109153W	The Grand Babylon Hotel	Bennett, Arnold	1902	100.0	True	True	best	/works/OL109153W	False	1
Eleonora	Edward Bellamy	1902	/works/OL109231W	Leonora	Bennett, Arnold	1900	93.33333333333333	True	False	year_only	/works/OL109231W	False	2
