work_key	title	author	jstor_mention_count	via_creators	via_jtitle	canonical	is_short
	Banco	Henri Charrie  re	1157	111	1046	0	0
	Alexander	Klaus Mann	535	474	61	0	0
	Sand	Will James	478	436	42	0	0
	The Mist	King, Stephen	406	76	330	0	0
	The House	Eugene Field	402	172	230	0	0
	Palimpsest	H. D.	396	215	181	0	0
	The hedgehog	H. D.	381	222	159	0	0
	The robe	Douglas, Lloyd C.	369	297	72	0	0
	Paris	Green, Anne	307	207	100	0	0
	William	Young, E. H.	295	165	130	0	0
	Back	Green, Henry	272	115	157	0	0
	Artie	George Ade	249	76	173	0	0
	Atla	Smith, J. Gregory	240	222	18	0	0
	Parzival	Wolfram	232	18	214	0	0
	The Amazon	Elliot Paul	230	226	4	0	0
	America	Asch, Sholem	199	190	9	0	0
	John	Katharine Pearson Woods	196	109	87	0	0
	Power	S. Fowler Wright	172	146	26	0	0
	Life ..	John Rankin Rogers	165	131	34	0	0
	Tristan	Gottfried	160	8	152	0	0
	Gold	Stewart Edward White	157	68	89	0	0
	Finnegans Wake	Joyce, James	142	29	113	0	0
	The faerie queene	Edmund Spenser	131	5	126	0	0
	The Wave	Evelyn Scott	122	102	20	0	0
	Rita	Richards, Laura Elizabeth Howe	122	111	11	0	0
	Living	Green, Henry	120	71	49	0	0
	Tempest	William Shakespeare	114	54	60	0	0
	Francis	David Stern	112	14	98	0	0
	Fore!	Charles E. Van Loan	109	27	82	0	0
	The Complete Poems	Poe, Edgar Allan	107	0	107	0	0
	Earth	Muriel Hine	102	12	90	0	0
	The father	Katharine Holland Brown	101	80	21	0	0
	The President	Alfred Henry Lewis	95	87	8	0	0
	Elise	S. M. M. X.	91	29	62	0	0
	The General	Joseph Warren	90	80	10	0	0
	À la recherche du temps perdu	Proust, Marcel	90	7	83	0	0
	Henry James	Leon Edel	81	81	0	0	0
	Flight	Walter Francis White	79	15	64	0	0
	The others	Terry Carr	79	48	31	0	0
	The secret agent	Conrad, Joseph	78	4	74	0	0
	The fathers	Tate, Allen	76	1	75	0	0
	Eliza	Patricia Campbell	74	67	7	0	0
	'Missing,'	Ward, Humphry	73	61	12	0	0
	Doktor Faustus	Thomas Mann	73	9	64	0	0
	The American	Dillon, Mary	70	62	8	0	0
	Under Western Eyes	Conrad, Joseph	69	13	56	0	0
	The search	C. P. Snow	69	51	18	0	0
	Tales of	James, Henry	68	60	8	0	0
	The tang	Helen Bell	67	46	21	0	0
	Helen	White, Edward Lucas	66	46	20	0	0
