work_id	title	author_name_pop	first_publish_year	jstor_mention_count	via_creators	via_jtitle	last_name
/works/OL1336767W	Arnold	Arnold, Matthew	1939	5562	3329	2233	arnold
/works/OL7965965W	D.H. Lawrence	Lawrence, D. H.	1928	1037	116	921	lawrence
/works/OL42215888W	Sterne	Sterne, Laurence	1950	720	118	602	sterne
/works/OL23183W	Steinbeck	John Steinbeck	1943	538	55	483	steinbeck
/works/OL29274033W	Alexander	Klaus Mann	1930	535	474	61	mann
/works/OL41035W	Edgar Allan Poe	Poe, Edgar Allan	1945	480	33	447	poe
/works/OL52811W	Palimpsest	H. D.	1926	396	215	181	d
/works/OL52800W	The hedgehog	H. D.	1936	381	222	159	d
/works/OL3979511W	William	Young, E. H.	1925	295	165	130	young
/works/OL4978807W	The Amazon	Elliot Paul	1930	230	226	4	paul
/works/OL1360269W	America	Asch, Sholem	1918	199	190	9	asch
/works/OL62231W	Ralph Waldo Emerson	Ralph Waldo Emerson	1902	174	35	139	emerson
/works/OL156816W	Arthur Rimbaud	Arthur Rimbaud	1921	153	34	119	rimbaud
/works/OL86319W	Finnegans Wake	Joyce, James	1928	142	29	113	joyce
/works/OL1193320W	Living	Green, Henry	1929	120	71	49	green
/works/OL15579690W	Francis	David Stern	1946	112	14	98	stern
/works/OL41060W	The Complete Poems	Poe, Edgar Allan	1882	107	0	107	poe
/works/OL7717237W	The father	Katharine Holland Brown	1928	101	80	21	brown
/works/OL4994347W	The President	Alfred Henry Lewis	1904	95	87	8	lewis
/works/OL1124016W	Maria Edgeworth	Edgeworth, Maria	1910	92	6	86	edgeworth
/works/OL7648374W	The General	Joseph Warren	1927	90	80	10	warren
/works/OL29984W	Louisa May Alcott	Louisa May Alcott	1889	89	7	82	alcott
/works/OL31968777W	Charles Lamb	Charles Lamb	1949	83	11	72	lamb
/works/OL29305W	Henry James	Leon Edel	1931	81	81	0	edel
/works/OL2750292W	Flight	Walter Francis White	1926	79	15	64	white
/works/OL33433659W	The others	Terry Carr	1949	79	48	31	carr
/works/OL43462425W	The secret agent	Conrad, Joseph	1921	78	4	74	conrad
/works/OL528766W	The fathers	Tate, Allen	1938	76	1	75	tate
/works/OL107887W	'Missing,'	Ward, Humphry	1917	73	61	12	ward
/works/OL19768190W	Doktor Faustus	Thomas Mann	1948	73	9	64	mann
/works/OL7710777W	The American	Dillon, Mary	1919	70	62	8	dillon
/works/OL38753W	Under Western Eyes	Conrad, Joseph	1911	69	13	56	conrad
/works/OL3412153W	The search	C. P. Snow	1932	69	51	18	snow
/works/OL14860890W	Tales of	James, Henry	1893	68	60	8	james
/works/OL4333278W	Achilles Tatius	Achilles Tatius.	1917	66	5	61	tatius
/works/OL730998W	Pantagruel	François Rabelais	1903	66	20	46	rabelais
/works/OL25506W	Hans Christian Andersen	Hans Christian Andersen	1942	65	6	59	andersen
/works/OL32423383W	Sassoon	Siegfried Sassoon	1949	58	28	30	sassoon
/works/OL5959578W	The Barrier	Beach, Rex	1908	57	1	56	beach
/works/OL19777639W	Confidence	James, Henry	1880	54	52	2	james
/works/OL41552802W	Bleak House	Charles Dickens	1941	52	2	50	dickens
/works/OL82928W	Absalom, Absalom!	William Faulkner	1936	52	0	52	faulkner
/works/OL275128W	Native Son	Wright, Richard	1940	51	3	48	wright
/works/OL32036014W	Lord Jim	Conrad, Joseph	1924	51	1	50	conrad
/works/OL27778127W	Their Eyes Were Watching God	Hurston, Zora Neale.	1937	50	1	49	hurston
/works/OL1428632W	Heilige	Conrad Ferdinand Meyer	1930	49	46	3	meyer
/works/OL1142292W	The Waste Land	T. S. Eliot	1922	48	3	45	eliot
/works/OL4636868W	Success	Samuel Hopkins Adams	1921	47	43	4	adams
/works/OL34076689W	Ring and the Book	Browning, Robert	1917	47	2	45	browning
/works/OL1504023W	Desire	Wood, Clement	1950	47	30	17	wood
/works/OL731000W	Gargantua	François Rabelais	1926	47	19	28	rabelais
/works/OL82931W	Light in August	William Faulkner	1931	47	4	43	faulkner
/works/OL44911581W	Candide	Voltaire	1927	45	10	35	voltaire
/works/OL1330246W	Der Mann ohne Eigenschaften	Robert Musil	1930	45	1	44	musil
/works/OL38700W	Nostromo	Conrad, Joseph	1900	45	1	44	conrad
/works/OL42484801W	War and peace	Tolstoy, Leo	1938	44	0	44	tolstoy
/works/OL2645476W	Passing	Nella Larsen	1929	43	2	41	larsen
/works/OL24318597W	The Scarlet Letter	Nathaniel Hawthorne	1936	42	5	37	hawthorne
/works/OL5213530W	The homesteaders	Robert J. C. Stead	1916	42	0	42	stead
/works/OL32094169W	Odysseus	Homer.	1898	42	0	42	homer
/works/OL27482W	The Hobbit	J. R. R. Tolkien	1937	41	5	36	tolkien
/works/OL33119429W	Blindness	Green, Henry	1926	40	29	11	green
/works/OL42484270W	Buddenbrooks	Thomas Mann	1924	39	4	35	mann
/works/OL82925W	Sanctuary	William Faulkner	1931	39	2	37	faulkner
/works/OL38078190W	The Golden Ass	Apuleius.	1919	39	5	34	apuleius
/works/OL5152771W	Eurasia	Veronica King	1907	38	5	33	king
/works/OL118986W	Germinal	Emile Zola	1885	36	3	33	zola
/works/OL102746W	Billy Budd	Herman Melville	1900	35	5	30	melville
/works/OL43220602W	Hard times	Charles Dickens	1894	34	3	31	dickens
/works/OL32048759W	Proceed	Graves, Robert	1946	34	33	1	graves
/works/OL32047378W	Benito Cereno	Herman Melville	1926	33	1	32	melville
/works/OL16782966W	Africa	Doyle, Arthur Conan	1896	33	31	2	doyle
/works/OL42216794W	Women in love	Lawrence, D. H.	1931	33	3	30	lawrence
/works/OL3238836W	Citizens	Meyer Levin	1940	33	33	0	levin
/works/OL5608299W	The encounter	Crawford Power	1950	33	5	28	power
/works/OL15217360W	Southwest	Armer, Laura Adams	1935	32	5	27	armer
