work_id	title	oa_title	pub_year	jstor	counts_by_year
/works/OL35695219W	Ulysses	Ulysses and the Sirens	1979	443	"[{""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 8}, {""year"": 2019, ""cited_by_count"": 8}, {""year"": 2018, ""cited_by_count"": 13}, {""year"": 2017, ""cited_by_count"": 9}, {""year"": 2016, ""cited_by_count"": 18}, {""year"": 2015, ""cited_by_count"": 15}, {""year"": 2014, ""cited_by_count"": 22}, {""year"": 2013, ""cited_by_count"": 19}, {""year"": 2012, ""cited_by_count"": 31}]"
/works/OL31971259W	Heart of Darkness	The heart of darkness	1992	118	"[{""year"": 2025, ""cited_by_count"": 7}, {""year"": 2024, ""cited_by_count"": 9}, {""year"": 2023, ""cited_by_count"": 6}, {""year"": 2022, ""cited_by_count"": 7}, {""year"": 2021, ""cited_by_count"": 25}, {""year"": 2020, ""cited_by_count"": 6}, {""year"": 2019, ""cited_by_count"": 18}, {""year"": 2018, ""cited_by_count"": 17}, {""year"": 2017, ""cited_by_count"": 18}, {""year"": 2016, ""cited_by_count"": 11}, {""year"": 2015, ""cited_by_count"": 11}, {""year"": 2014, ""cited_by_count"": 17}, {""year"": 2013, ""cited_by_count"": 16}, {""year"": 2012, ""cited_by_count"": 19}]"
/works/OL86320W	Dubliners	"Suspicious Readings of Joyce's ""Dubliners"""	2003	77	"[{""year"": 2026, ""cited_by_count"": 3}, {""year"": 2025, ""cited_by_count"": 3}, {""year"": 2024, ""cited_by_count"": 2}, {""year"": 2023, ""cited_by_count"": 4}, {""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 17}, {""year"": 2019, ""cited_by_count"": 8}, {""year"": 2018, ""cited_by_count"": 3}, {""year"": 2017, ""cited_by_count"": 10}, {""year"": 2016, ""cited_by_count"": 3}, {""year"": 2015, ""cited_by_count"": 6}, {""year"": 2014, ""cited_by_count"": 5}, {""year"": 2013, ""cited_by_count"": 3}, {""year"": 2012, ""cited_by_count"": 2}]"
/works/OL276470W	The Ambassadors	Ambassadors of Culture	2002	54	"[{""year"": 2026, ""cited_by_count"": 1}, {""year"": 2025, ""cited_by_count"": 11}, {""year"": 2024, ""cited_by_count"": 13}, {""year"": 2023, ""cited_by_count"": 2}, {""year"": 2022, ""cited_by_count"": 5}, {""year"": 2021, ""cited_by_count"": 3}, {""year"": 2020, ""cited_by_count"": 3}, {""year"": 2019, ""cited_by_count"": 10}, {""year"": 2018, ""cited_by_count"": 69}, {""year"": 2017, ""cited_by_count"": 26}, {""year"": 2016, ""cited_by_count"": 10}, {""year"": 2015, ""cited_by_count"": 64}, {""year"": 2014, ""cited_by_count"": 19}, {""year"": 2013, ""cited_by_count"": 3}, {""year"": 2012, ""cited_by_count"": 17}]"
/works/OL82870W	The Sound and the Fury	The Sound and the Fury: The Corrected Text	1929	45	"[{""year"": 2023, ""cited_by_count"": 12}, {""year"": 2022, ""cited_by_count"": 10}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 2}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2012, ""cited_by_count"": 1}]"
/works/OL38989822W	A portrait of the artist as a young man	Portrait of the Artist as a Young Man	2013	45	"[{""year"": 2025, ""cited_by_count"": 3}, {""year"": 2024, ""cited_by_count"": 12}, {""year"": 2023, ""cited_by_count"": 44}, {""year"": 2022, ""cited_by_count"": 16}, {""year"": 2021, ""cited_by_count"": 20}, {""year"": 2020, ""cited_by_count"": 22}, {""year"": 2019, ""cited_by_count"": 20}, {""year"": 2018, ""cited_by_count"": 23}, {""year"": 2017, ""cited_by_count"": 18}, {""year"": 2016, ""cited_by_count"": 16}, {""year"": 2015, ""cited_by_count"": 18}, {""year"": 2014, ""cited_by_count"": 16}, {""year"": 2013, ""cited_by_count"": 18}, {""year"": 2012, ""cited_by_count"": 18}]"
/works/OL1794919W	The Pit	Pitting Corrosion of Metals: A Review of the Critical Factors	1998	36	"[{""year"": 2026, ""cited_by_count"": 51}, {""year"": 2025, ""cited_by_count"": 142}, {""year"": 2024, ""cited_by_count"": 122}, {""year"": 2023, ""cited_by_count"": 142}, {""year"": 2022, ""cited_by_count"": 151}, {""year"": 2021, ""cited_by_count"": 123}, {""year"": 2020, ""cited_by_count"": 120}, {""year"": 2019, ""cited_by_count"": 141}, {""year"": 2018, ""cited_by_count"": 116}, {""year"": 2017, ""cited_by_count"": 113}, {""year"": 2016, ""cited_by_count"": 99}, {""year"": 2015, ""cited_by_count"": 111}, {""year"": 2014, ""cited_by_count"": 89}, {""year"": 2013, ""cited_by_count"": 64}, {""year"": 2012, ""cited_by_count"": 63}]"
/works/OL82929W	As I Lay Dying	As I Lay Dying: The Corrected Text	1930	33	"[{""year"": 2025, ""cited_by_count"": 10}, {""year"": 2022, ""cited_by_count"": 11}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 14}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 5}, {""year"": 2014, ""cited_by_count"": 1}, {""year"": 2013, ""cited_by_count"": 1}, {""year"": 2012, ""cited_by_count"": 2}]"
/works/OL39360W	Orlando	Orlando: A Biography	1928	32	"[{""year"": 2021, ""cited_by_count"": 5}, {""year"": 2020, ""cited_by_count"": 5}, {""year"": 2019, ""cited_by_count"": 5}, {""year"": 2018, ""cited_by_count"": 7}, {""year"": 2017, ""cited_by_count"": 10}, {""year"": 2016, ""cited_by_count"": 16}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 11}, {""year"": 2013, ""cited_by_count"": 11}, {""year"": 2012, ""cited_by_count"": 5}]"
/works/OL35353208W	The Great Gatsby	Income Inequality, Intergenerational Mobility, and the Great Gatsby Curve: Is Education the Key?	2015	30	"[{""year"": 2026, ""cited_by_count"": 3}, {""year"": 2025, ""cited_by_count"": 23}, {""year"": 2024, ""cited_by_count"": 21}, {""year"": 2023, ""cited_by_count"": 45}, {""year"": 2022, ""cited_by_count"": 29}, {""year"": 2021, ""cited_by_count"": 25}, {""year"": 2020, ""cited_by_count"": 23}, {""year"": 2019, ""cited_by_count"": 23}, {""year"": 2018, ""cited_by_count"": 22}, {""year"": 2017, ""cited_by_count"": 10}, {""year"": 2016, ""cited_by_count"": 6}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 1}]"
