audit_index	target_id	title	author	year	author_candidate_count	wikidata_status	qid	failure_mode	notes	retrieval_failure_mode	audit_note	scope_review_prelim
1	OL12264405W	The mud larks	Crosbie Garstin	1919	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
2	OL1249729W	Bread, a novel	Tolstoy, Aleksey Nikolayevich	1938	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
3	OL1257058W	Golden footlights	Phyllis Wynn Jackson	1949	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
4	OL13186284W	The Mystery at Stowe	Vernon Loder	1928	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
5	OL1338602W	Poor nigger	Orio Vergani	1930	2	NOT_FOUND_AFTER_SEARCH						INCLUDE
6	OL13575832W	Analysis of the short-short story	Wycliffs A. Hill	1932	0	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
7	OL13795947W	Tales of a vanishing river	Earl H. Reed	1920	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
8	OL1386177W	Letzte am Schafott	Le Fort, Gertrud	1933	0	FOUND_VARIANT	Q1214380			TITLE_VARIANT_RETRIEVAL_MISS	Wikidata work found under variant/original-title representation; Die Letzte am Schafott / The Song at the Scaffold.	INCLUDE
9	OL1479613W	Reward for Brownie	Dorothy Childs Hogner	1944	0	NOT_FOUND_AFTER_SEARCH						UNCERTAIN_SCOPE
10	OL1480982W	Timber, a novel of Pacific coast loggers	Roderick Langmere Haig-Brown	1942	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
11	OL1489136W	White Marie	Will N. Harben	1889	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
12	OL1491770W	The gray and the blue	Edward Reynolds Roe	1884	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
13	OL14954222W	A Yankee girl at the battle of the Wilderness	Alice Turner Curtis	1929	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
14	OL1514775W	Tuberoses	Essex Dane	1933	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
15	OL15217211W	Who dreams of cheese?	Leonard Weisgard	1950	1	NOT_FOUND_AFTER_SEARCH						EXCLUDE_OUT_OF_SCOPE
16	OL1524987W	A girl of Chicago	Mary Moncure Parker	1901	0	NOT_FOUND_AFTER_SEARCH						INCLUDE
17	OL1528514W	The four Corners in California	Blanchard, Amy Ella	1907	1	NOT_FOUND_AFTER_SEARCH						INCLUDE
