target_id	title	author	year	reported_editions	fetched_editions	truncated	exact_title_editions	exact_title_year_editions	selected_scope	selected_editions	has_notes	has_by_statement	has_full_title	has_subtitle	has_work_titles	has_other_titles	has_contributions	has_languages	has_translation_of	has_translated_from	has_abridged_from	has_adapted_from	has_based_on	has_any_relation	error
OL5944450W	Whimsical tales	Jerrold, Douglas William	1948	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	
OL1454275W	Pitcairn's island	Nordhoff, Charles	1935	6	6	0	6	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
OL1948670W	Five Go Adventuring Again	Enid Blyton	1943	53	53	0	46	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL7334261W	The mystery of the creaking windmill	Harriet Evatt	1945	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL32872580W	Lady Lee	H. L. Ensign	1902	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	
OL7896353W	Annie Laurie and Azalea	Peattie, Elia Wilkinson	1913	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	
OL42471247W	Daisy Miller	James, Henry	1909	2	2	0	2	1	TITLE_YEAR_EXACT	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	
OL18094599W	"That affair at ""The Cedars"""	Lee Thayer	1921	3	3	0	3	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	
OL15743683W	A Texas ranger	N. A. Jennings	1899	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
OL43797485W	Ned Melbourne's mission and how he discharged it	A. Elizabeth Hillock	1887	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
OL22245440W	The hard-boiled omnibus	Shaw, Joseph T.	1946	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	
OL7564215W	Fiction writers on fiction writing	Arthur Sullivant Hoffman	1923	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	
OL24981550W	The romance of King Arthur and his knights of the Round Table	Malory, Thomas	1917	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	
OL7482472W	The schooner California	H. B. Drake	1926	2	2	0	2	1	TITLE_YEAR_EXACT	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
OL19798787W	Bonny Prince	Marion Sewell	1906	1	1	0	1	1	TITLE_YEAR_EXACT	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
OL28206525W	The first gentleman of America	James Branch Cabell	1942	1	1	0	1	1	TITLE_YEAR_EXACT	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	
OL1358969W	Under Milk Wood	Dylan Thomas	1950	48	48	0	41	1	TITLE_YEAR_EXACT	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	
