work_key	title	author	last_name	qid_found	sitelink_count	strategy	status
/works/OL35695219W	Ulysses	James Joyce	joyce	Q6511	166	title+author	ok
/works/OL31971259W	Heart of Darkness	Conrad, Joseph	conrad	Q129778	57	title+author	ok
/works/OL276470W	The Ambassadors	James, Henry	james	Q650571	13	title+author	ok
/works/OL38989822W	A portrait of the artist as a young man	Joyce, James	joyce		0	none	not_found
/works/OL1794919W	The Pit	Frank Norris	norris	Q7757284	3	title+author	ok
/works/OL35353208W	The Great Gatsby	F. Scott Fitzgerald	fitzgerald	Q214371	84	title+author	ok
/works/OL40252771W	Turn of the Screw	Henry James	james		0	none	not_found
/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	hardy		0	none	not_found
/works/OL18814811W	Looking backward	Bellamy, Edward	bellamy		0	none	not_found
/works/OL42236259W	The house of mirth	Edith Wharton	wharton		0	none	not_found
/works/OL51141W	The job	Sinclair Lewis	lewis		0	none	not_found
/works/OL42517032W	The red badge of courage	Crane, Stephen	crane		0	none	not_found
/works/OL43405505W	Lady Chatterley's lover	Lawrence, D. H.	lawrence		0	none	not_found
/works/OL112798W	The marrow of tradition	Charles Waddell Chesnutt	chesnutt		0	none	not_found
/works/OL100203W	Sister Carrie	Theodore Dreiser	dreiser	Q1286961	21	title+author	ok
/works/OL20172W	Kim	Kipling, Rudyard	kipling	Q19086249	1	title+author	ok
/works/OL276365W	The Portrait of a Lady	James, Henry	james	Q861017	27	title+author	ok
/works/OL509919W	Parade's End	Ford Madox Ford	ford		0	none	not_found
/works/OL44622934W	The jungle	Upton Sinclair	sinclair		0	none	not_found
/works/OL100196W	"The ""genius"""	Theodore Dreiser	dreiser		0	none	not_found
/works/OL38827W	The shadow-line	Conrad, Joseph	conrad		0	none	not_found
/works/OL27834207W	The Return of the Soldier	Rebecca West	west	Q7760466	3	title+author	ok
/works/OL100237W	The Financier	Theodore Dreiser	dreiser	Q577607	9	title+author	ok
/works/OL18561767W	The story of an African farm	Olive Schreiner	schreiner		0	none	not_found
/works/OL14864528W	The rise of David Levinsky	Abraham Cahan	cahan		0	none	not_found
/works/OL41540816W	Robert Elsmere	Humphry Ward	ward	Q7344052	3	title+author	ok
/works/OL4315764W	The Heavenly Twins	Sarah Grand	grand		0	none	not_found
/works/OL20839W	Maggie, a girl of the streets	Crane, Stephen	crane		0	none	not_found
/works/OL12781W	Alexander's Bridge	Willa Cather	cather	Q4718102	3	title+author	ok
/works/OL88813W	A Room with a View	E. M. Forster	forster	Q120288	23	title+author	ok
/works/OL715621W	The odd women	George Gissing	gissing		0	none	not_found
/works/OL65437W	At Fault	Kate Chopin	chopin		0	none	not_found
/works/OL5293697W	New day	Victor Stafford Reid	reid		0	none	not_found
/works/OL4390503W	Gone to Earth	Mary Gladys Meredith Webb	webb	Q109284453	1	title+author	ok
/works/OL4902750W	Java Head	Joseph Hergesheimer	hergesheimer	Q107000085	0	title+author	ok
/works/OL109231W	Leonora	Bennett, Arnold	bennett		0	none	not_found
/works/OL507321W	Pembroke	Mary Eleanor Wilkins Freeman	freeman	Q7161943	2	title+author	ok
/works/OL2339087W	The Red Axe	S. R. Crockett	crockett		0	none	not_found
/works/OL1797270W	Senator North	Atherton, Gertrude Franklin Horn	atherton		0	none	not_found
/works/OL1418251W	Tarzan of the Apes	Edgar Rice Burroughs	burroughs	Q655296	25	title+author	ok
/works/OL262473W	The Mystery of Cloomber	Doyle, Arthur Conan	doyle	Q4449924	7	title+author	ok
/works/OL13144755W	The Homeward Trail	Waldron Baily	baily		0	none	not_found
/works/OL1799163W	Hearts courageous	Rives, Hallie Erminie	rives		0	none	not_found
/works/OL5138118W	The Golden Cage	Iris Bromige	bromige		0	none	not_found
/works/OL1487721W	Alas!	Rhoda Broughton	broughton		0	none	not_found
/works/OL2107271W	Stepsons of light	Eugene Manlove Rhodes	rhodes		0	none	not_found
/works/OL109153W	The Grand Babylon Hotel	Bennett, Arnold	bennett	Q7737468	3	title+author	ok
/works/OL505740W	The moon and sixpence	W. Somerset Maugham	maugham		0	none	not_found
/works/OL7461553W	The innocents	Alfred Machard	machard		0	none	not_found
/works/OL4971729W	Megda	Emma Dunham Kelley	kelley		0	none	not_found
/works/OL6926191W	The sea witch	Laing, Alexander	laing		0	none	not_found
/works/OL7842965W	Trelawny	Holman Freeland	freeland		0	none	not_found
/works/OL485410W	The border legion	Zane Grey	grey		0	none	not_found
/works/OL7541646W	Princess Salome	Burris Jenkins	jenkins		0	none	not_found
/works/OL20163024W	The Damascus Road	Jay Parini	parini		0	none	not_found
/works/OL2337481W	The Frontiersmen	Charles Egbert Craddock	craddock		0	none	not_found
/works/OL44014215W	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	stevenson		0	none	not_found
/works/OL462007W	Peter Pan	J. M. Barrie	barrie	Q3435337	33	P648	ok
/works/OL1154817W	The Crock of Gold	Stephens, James	stephens	Q7728134	1	title+author	ok
/works/OL18397742W	The North Star	M. E. Henry-Ruffin	henry-ruffin		0	none	not_found
/works/OL39453744W	Jude the obscure	Hardy, Thomas	hardy		0	none	not_found
/works/OL98585W	The Custom of the Country	Edith Wharton	wharton	Q7728505	3	title+author	ok
