work_key	title	author	last_name	qid	sitelink_count	strategy	status
/works/OL38989822W	A portrait of the artist as a young man	Joyce, James	joyce	Q465360	45	title+author_api	ok
/works/OL40252771W	Turn of the Screw	Henry James	james		0	none	not_found
/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	hardy	Q649409	35	title+author_api	ok
/works/OL18814811W	Looking backward	Bellamy, Edward	bellamy	Q1305106	19	title+author_api	ok
/works/OL42236259W	The house of mirth	Edith Wharton	wharton	Q129037	12	title_only_high_sl	ok
/works/OL51141W	The job	Sinclair Lewis	lewis	Q687423	33	title_only_high_sl	ok
/works/OL42517032W	The red badge of courage	Crane, Stephen	crane	Q1219239	24	title+author_api	ok
/works/OL43405505W	Lady Chatterley's lover	Lawrence, D. H.	lawrence		0	none	not_found
/works/OL112798W	The marrow of tradition	Charles Waddell Chesnutt	chesnutt		0	none	not_found
/works/OL509919W	Parade's End	Ford Madox Ford	ford		0	none	not_found
/works/OL44622934W	The jungle	Upton Sinclair	sinclair	Q191086	82	title_only_high_sl	ok
/works/OL100196W	"The ""genius"""	Theodore Dreiser	dreiser	Q654361	40	title_only_high_sl	ok
/works/OL38827W	The shadow-line	Conrad, Joseph	conrad	Q667503	10	title_only_high_sl	ok
/works/OL18561767W	The story of an African farm	Olive Schreiner	schreiner		0	none	not_found
/works/OL14864528W	The rise of David Levinsky	Abraham Cahan	cahan		0	none	not_found
/works/OL4315764W	The Heavenly Twins	Sarah Grand	grand		0	none	not_found
/works/OL20839W	Maggie, a girl of the streets	Crane, Stephen	crane		0	none	not_found
/works/OL715621W	The odd women	George Gissing	gissing		0	none	not_found
/works/OL65437W	At Fault	Kate Chopin	chopin	Q131573518	0	title+author_api	ok
/works/OL5293697W	New day	Victor Stafford Reid	reid	Q18637043	21	title_only_high_sl	ok
/works/OL109231W	Leonora	Bennett, Arnold	bennett	Q985161	20	title_only_high_sl	ok
/works/OL2339087W	The Red Axe	S. R. Crockett	crockett		0	none	not_found
/works/OL1797270W	Senator North	Atherton, Gertrude Franklin Horn	atherton		0	none	not_found
/works/OL13144755W	The Homeward Trail	Waldron Baily	baily		0	none	not_found
/works/OL1799163W	Hearts courageous	Rives, Hallie Erminie	rives		0	none	not_found
/works/OL5138118W	The Golden Cage	Iris Bromige	bromige		0	none	not_found
/works/OL1487721W	Alas!	Rhoda Broughton	broughton	Q797	261	title_only_high_sl	ok
/works/OL2107271W	Stepsons of light	Eugene Manlove Rhodes	rhodes		0	none	not_found
/works/OL505740W	The moon and sixpence	W. Somerset Maugham	maugham	Q3521913	10	title_only_high_sl	ok
/works/OL7461553W	The innocents	Alfred Machard	machard	Q666082	25	title_only_high_sl	ok
/works/OL4971729W	Megda	Emma Dunham Kelley	kelley		0	none	not_found
/works/OL6926191W	The sea witch	Laing, Alexander	laing		0	none	not_found
/works/OL7842965W	Trelawny	Holman Freeland	freeland	Q1123340	30	title_only_high_sl	ok
/works/OL485410W	The border legion	Zane Grey	grey		0	none	not_found
/works/OL7541646W	Princess Salome	Burris Jenkins	jenkins		0	none	not_found
/works/OL20163024W	The Damascus Road	Jay Parini	parini		0	none	not_found
/works/OL2337481W	The Frontiersmen	Charles Egbert Craddock	craddock		0	none	not_found
/works/OL44014215W	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	stevenson	Q217352	59	title+author_api	ok
/works/OL18397742W	The North Star	M. E. Henry-Ruffin	henry-ruffin	Q1527	223	title_only_high_sl	ok
/works/OL39453744W	Jude the obscure	Hardy, Thomas	hardy	Q1248773	18	title+author_api	ok
