work_id	work_key	first_publish_year	min_year_offset0	min_year_offset50	min_year_offset100	min_year_observed	status	offset0_entries	offset50_entries	offset100_entries
OL100237W	/works/OL100237W	1912	1912			1912	matched	50	0	0
OL100278W	/works/OL100278W	1944	1944			1944	matched	50	0	0
OL101949W	/works/OL101949W	1950	1950			1950	matched	24	0	0
OL10340782W	/works/OL10340782W	1900	1900			1900	matched	20	0	0
OL10416779W	/works/OL10416779W	1933	1933			1933	matched	16	0	0
OL1064284W	/works/OL1064284W	1906	2013	1908		1908	near_match	50	50	0
OL108735W	/works/OL108735W	1900	1902	1904		1902	near_match	50	50	0
OL108761W	/works/OL108761W	1913	1913			1913	matched	21	0	0
OL1090082W	/works/OL1090082W	1892	1892			1892	matched	20	0	0
OL1098440W	/works/OL1098440W	1925	1925			1925	matched	14	0	0
OL1140133W	/works/OL1140133W	1930	1930			1930	matched	34	0	0
OL1140168W	/works/OL1140168W	1939	1939			1939	matched	28	0	0
OL1164756W	/works/OL1164756W	1933	1933			1933	matched	48	0	0
OL1174832W	/works/OL1174832W	1933	1933			1933	matched	20	0	0
OL118407W	/works/OL118407W	1882	2015	1882		1882	matched	50	30	0
OL1184845W	/works/OL1184845W	1933	1933			1933	matched	8	0	0
OL1188951W	/works/OL1188951W	1928	1928			1928	matched	16	0	0
OL118959W	/works/OL118959W	1897	1897			1897	matched	15	0	0
OL120601W	/works/OL120601W	1943	1943			1943	matched	25	0	0
OL1249816W	/works/OL1249816W	1922	1922			1922	matched	25	0	0
OL1256792W	/works/OL1256792W	1923	1923			1923	matched	13	0	0
OL12799W	/works/OL12799W	1940	1940			1940	matched	50	0	0
OL12831W	/works/OL12831W	1915	1915			1915	matched	50	0	0
OL1337110W	/works/OL1337110W	1930	1930			1930	matched	22	0	0
OL1418064W	/works/OL1418064W	1914	1914			1914	matched	19	0	0
OL1434640W	/works/OL1434640W	1929	1929			1929	matched	50	0	0
OL14848613W	/works/OL14848613W	1938	1938			1938	matched	5	0	0
OL14857651W	/works/OL14857651W	1939	1939			1939	matched	16	0	0
OL15127501W	/works/OL15127501W	1924	1924			1924	matched	12	0	0
OL15176339W	/works/OL15176339W	1896	1896			1896	matched	19	0	0
OL15309606W	/works/OL15309606W	1907	1907			1907	matched	10	0	0
OL1794630W	/works/OL1794630W	1898	1898			1898	matched	26	0	0
