work_id	work_key	first_publish_year
OL100237W	/works/OL100237W	1912
OL100278W	/works/OL100278W	1944
OL101949W	/works/OL101949W	1950
OL10340782W	/works/OL10340782W	1900
OL10416779W	/works/OL10416779W	1933
OL1064284W	/works/OL1064284W	1906
OL108735W	/works/OL108735W	1900
OL108761W	/works/OL108761W	1913
OL1090082W	/works/OL1090082W	1892
OL1098440W	/works/OL1098440W	1925
OL1140133W	/works/OL1140133W	1930
OL1140168W	/works/OL1140168W	1939
OL1164756W	/works/OL1164756W	1933
OL1174832W	/works/OL1174832W	1933
OL118407W	/works/OL118407W	1882
OL1184845W	/works/OL1184845W	1933
OL1188951W	/works/OL1188951W	1928
OL118959W	/works/OL118959W	1897
OL120601W	/works/OL120601W	1943
OL1249816W	/works/OL1249816W	1922
OL1256792W	/works/OL1256792W	1923
OL12799W	/works/OL12799W	1940
OL12831W	/works/OL12831W	1915
OL1337110W	/works/OL1337110W	1930
OL1418064W	/works/OL1418064W	1914
OL1434640W	/works/OL1434640W	1929
OL14848613W	/works/OL14848613W	1938
OL14857651W	/works/OL14857651W	1939
OL15127501W	/works/OL15127501W	1924
OL15176339W	/works/OL15176339W	1896
OL15309606W	/works/OL15309606W	1907
OL1794630W	/works/OL1794630W	1898
OL1797271W	/works/OL1797271W	1902
OL181945W	/works/OL181945W	1918
OL181949W	/works/OL181949W	1909
OL1937467W	/works/OL1937467W	1930
OL1937666W	/works/OL1937666W	1920
OL1937779W	/works/OL1937779W	1943
OL1937789W	/works/OL1937789W	1920
OL1948704W	/works/OL1948704W	1942
OL1972829W	/works/OL1972829W	1940
OL2040928W	/works/OL2040928W	1949
OL209180W	/works/OL209180W	1921
OL21077191W	/works/OL21077191W	1949
OL2227893W	/works/OL2227893W	1913
OL2239396W	/works/OL2239396W	1884
OL2288671W	/works/OL2288671W	1932
OL23200W	/works/OL23200W	1942
OL259581W	/works/OL259581W	1902
OL260308W	/works/OL260308W	1897
OL262490W	/works/OL262490W	1929
OL262562W	/works/OL262562W	1906
OL265984W	/works/OL265984W	1935
OL267110W	/works/OL267110W	1880
OL273555W	/works/OL273555W	1897
OL276321W	/works/OL276321W	1885
OL2883791W	/works/OL2883791W	1948
OL289009W	/works/OL289009W	1925
OL3020881W	/works/OL3020881W	1939
OL3020931W	/works/OL3020931W	1946
OL309136W	/works/OL309136W	1883
OL3520392W	/works/OL3520392W	1942
OL38827W	/works/OL38827W	1917
OL3901369W	/works/OL3901369W	1928
OL39042W	/works/OL39042W	1903
OL3926760W	/works/OL3926760W	1946
OL39575W	/works/OL39575W	1937
OL4080129W	/works/OL4080129W	1950
OL4092661W	/works/OL4092661W	1940
OL45423W	/works/OL45423W	1922
OL4592774W	/works/OL4592774W	1897
OL4636873W	/works/OL4636873W	1922
OL4638367W	/works/OL4638367W	1941
OL468564W	/works/OL468564W	1940
OL472073W	/works/OL472073W	1923
OL4770567W	/works/OL4770567W	1936
OL47899W	/works/OL47899W	1928
OL482890W	/works/OL482890W	1934
OL500584W	/works/OL500584W	1923
OL505792W	/works/OL505792W	1939
OL5537695W	/works/OL5537695W	1939
OL55409W	/works/OL55409W	1948
OL55637W	/works/OL55637W	1947
OL5591827W	/works/OL5591827W	1936
OL56800W	/works/OL56800W	1905
OL575625W	/works/OL575625W	1920
OL631009W	/works/OL631009W	1907
OL672332W	/works/OL672332W	1898
OL69063W	/works/OL69063W	1881
OL69207W	/works/OL69207W	1920
OL6943209W	/works/OL6943209W	1930
OL7013714W	/works/OL7013714W	1918
OL76578W	/works/OL76578W	1927
OL78359W	/works/OL78359W	1943
OL8070950W	/works/OL8070950W	1922
OL8445008W	/works/OL8445008W	1933
OL8608152W	/works/OL8608152W	1917
OL873092W	/works/OL873092W	1910
OL878922W	/works/OL878922W	1921
OL98563W	/works/OL98563W	1925
