selection_title,selection_author,selection_year,matched_title,matched_author,openlibrary_record_year,openlibrary_work_key,openalex_title_author_count,openalex_literary_terms_count,openalex_status,openalex_risk_flags,openlibrary_edition_count,hathitrust_volume_count,wikidata_qid,metadata_flags,bibliographic_note,jstor_ll_candidate_count,jstor_ll_relevant_count,jstor_ll_unclear_count,jstor_ll_unrelated_count
The Red Axe,S R Crockett,1898,The Red Axe,S. R. Crockett,1898,/works/OL2339087W,0,0,zero_title_author,canonical_preserved,28,1,,openalex:zero_title_author; wikidata_unresolved,,0,0,0,0
The Job,Sinclair Lewis,1918,The job,Sinclair Lewis,1905,/works/OL51141W,161,48,use_with_warning_short_title,observed_generic_short_title|short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved,72,2,,year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved,,49,0,13,36
Sons and Lovers,D. H. Lawrence,1913,Sons and Lovers,"Lawrence, D. H.",1913,/works/OL81295W,299,220,use_title_author,canonical_preserved,332,9,Q80771,author_variant_or_source_error,,49,47,1,1
McTeague,Frank Norris,1899,McTeague,Frank Norris,1899,/works/OL1794911W,73,60,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,289,1,Q11772710,openalex:use_with_warning_short_title,,34,34,0,0
This Side of Paradise,F Scott Fitzgerald,1920,This Side of Paradise,F. Scott Fitzgerald,1920,/works/OL468488W,99,76,use_title_author,canonical_preserved,495,1,Q2581681,,,11,10,1,0
The Ambassadors,Henry James,1903,The Ambassadors,"James, Henry",1903,/works/OL276470W,207,159,use_with_warning_short_title,short_title_len_le_2|canonical_preserved,231,1,Q650571,author_variant_or_source_error; openalex:use_with_warning_short_title,,73,69,3,1
The Great Gatsby,F Scott Fitzgerald,1925,The Great Gatsby,F. Scott Fitzgerald,1925,/works/OL35353208W,858,652,use_title_author,canonical_preserved,2,6,Q214371,,,107,106,1,0
The Sound and the Fury,William Faulkner,1929,The Sound and the Fury,William Faulkner,1929,/works/OL82870W,492,370,use_title_author,canonical_preserved,94,2,Q135515,,,95,92,1,2
Senator North,Gertrude Atherton,1900,Senator North,"Atherton, Gertrude Franklin Horn",1900,/works/OL1797270W,0,0,zero_title_author,short_title_len_le_2|canonical_preserved,29,4,,author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved,,0,0,0,0
The Age of Innocence,Edith Wharton,1920,The Age of Innocence,Edith Wharton,1920,/works/OL98491W,174,128,use_title_author,canonical_preserved,301,1,Q1045464,,,47,46,0,1
